Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3
4/6/2018 17:45,-2.88E-08,-2.09439514,2.094395066
4/6/2018 18:00,-3.16E-08,-2.094395141,2.094395063
4/6/2018 18:15,-3.30E-08,-2.094395141,2.094395061
4/6/2018 18:30,-3.39E-08,-2.094395142,2.094395059
4/6/2018 18:45,-3.48E-08,-2.094395143,2.094395057
4/7/2018 7:00,-2.48E-08,-2.09439513,2.094395071
4/7/2018 7:15,-2.35E-08,-2.09439513,2.094395073
4/7/2018 7:30,-2.28E-08,-2.09439513,2.094395076
4/7/2018 7:45,-2.16E-08,-2.09439513,2.094395078
4/7/2018 8:00,-1.96E-08,-2.094395129,2.094395081
4/7/2018 8:15,-1.70E-08,-2.094395129,2.094395083
4/7/2018 8:30,-1.54E-08,-2.094395129,2.094395084
4/7/2018 8:45,-1.43E-08,-2.094395129,2.094395087
4/7/2018 9:00,-1.37E-08,-2.094395129,2.094395088
4/7/2018 9:15,-1.26E-08,-2.094395129,2.09439509
4/7/2018 9:30,-1.07E-08,-2.094395129,2.094395093
4/7/2018 9:45,-1.11E-08,-2.094395128,2.094395095
4/7/2018 10:00,-9.27E-09,-2.094395129,2.094395097
4/7/2018 10:15,-5.99E-09,-2.094395129,2.094395099
4/7/2018 10:30,-4.55E-09,-2.094395129,2.094395101
4/7/2018 10:45,-3.94E-09,-2.094395129,2.094395102
4/7/2018 11:00,-5.27E-09,-2.094395129,2.094395103
4/7/2018 11:15,-5.11E-09,-2.094395129,2.094395103
4/7/2018 11:30,-4.50E-09,-2.094395129,2.094395103
4/7/2018 11:45,-3.77E-09,-2.094395129,2.094395103
4/7/2018 12:00,-4.10E-09,-2.094395129,2.094395103
4/7/2018 12:15,-3.94E-09,-2.094395128,2.094395103
4/7/2018 12:30,-4.53E-09,-2.094395129,2.094395102
4/7/2018 12:45,-5.09E-09,-2.09439513,2.094395101
4/7/2018 13:00,-5.09E-09,-2.09439513,2.094395101
4/7/2018 13:15,-4.96E-09,-2.094395129,2.094395101
4/7/2018 13:30,-4.73E-09,-2.094395129,2.094395101
4/7/2018 13:45,-4.12E-09,-2.094395129,2.094395102
4/7/2018 14:00,-3.24E-09,-2.094395128,2.094395103
4/7/2018 14:15,-3.31E-09,-2.094395128,2.094395103
4/7/2018 14:30,-4.43E-09,-2.094395128,2.094395102
4/7/2018 14:45,-5.51E-09,-2.094395129,2.094395101
4/7/2018 15:00,-5.97E-09,-2.094395129,2.094395099
4/7/2018 15:15,-6.80E-09,-2.094395128,2.094395098
4/7/2018 15:30,-7.97E-09,-2.094395129,2.094395096
4/7/2018 15:45,-9.44E-09,-2.094395129,2.094395094
4/7/2018 16:00,-1.03E-08,-2.094395129,2.094395092
4/7/2018 16:15,-1.14E-08,-2.09439513,2.09439509
4/7/2018 16:30,-1.31E-08,-2.09439513,2.094395088
4/7/2018 16:45,-1.46E-08,-2.094395129,2.094395086
4/7/2018 17:00,-1.64E-08,-2.094395129,2.094395084
4/7/2018 17:15,-1.80E-08,-2.094395129,2.094395082
4/7/2018 17:30,-2.09E-08,-2.094395129,2.09439508
4/7/2018 17:45,-2.26E-08,-2.09439513,2.094395077
4/7/2018 18:00,-2.68E-08,-2.094395132,2.094395074
4/7/2018 18:15,-3.00E-08,-2.094395133,2.094395071
4/7/2018 18:30,-2.88E-08,-2.094395132,2.09439507
4/7/2018 18:45,-2.76E-08,-2.094395132,2.094395069
4/8/2018 7:00,-6.10E-08,-2.094395167,2.094395032
4/8/2018 7:15,-6.10E-08,-2.094395168,2.094395032
4/8/2018 7:30,-6.07E-08,-2.094395169,2.094395032
4/8/2018 7:45,-6.06E-08,-2.09439517,2.094395033
4/8/2018 8:00,-5.96E-08,-2.09439517,2.094395034
4/8/2018 8:15,-5.91E-08,-2.09439517,2.094395035
4/8/2018 8:30,-5.83E-08,-2.09439517,2.094395035
4/8/2018 8:45,-5.67E-08,-2.09439517,2.094395038
4/8/2018 9:00,-5.60E-08,-2.09439517,2.09439504
4/8/2018 9:15,-5.38E-08,-2.09439517,2.094395044
4/8/2018 9:30,-5.10E-08,-2.09439517,2.094395048
4/8/2018 9:45,-4.93E-08,-2.094395171,2.094395051
4/8/2018 10:00,-4.75E-08,-2.094395169,2.094395055
4/8/2018 10:15,-4.74E-08,-2.09439517,2.094395055
4/8/2018 10:30,-4.72E-08,-2.09439517,2.094395055
4/8/2018 10:45,-4.65E-08,-2.094395171,2.094395058
4/8/2018 11:00,-4.47E-08,-2.09439517,2.094395061
4/8/2018 11:15,-4.30E-08,-2.094395169,2.094395062
4/8/2018 11:30,-4.39E-08,-2.094395169,2.094395061
4/8/2018 11:45,-4.36E-08,-2.094395169,2.094395061
4/8/2018 12:00,-4.38E-08,-2.09439517,2.09439506
4/8/2018 12:15,-4.32E-08,-2.094395169,2.094395061
4/8/2018 12:30,-4.23E-08,-2.094395168,2.094395062
4/8/2018 12:45,-4.23E-08,-2.094395168,2.094395062
4/8/2018 13:00,-4.34E-08,-2.094395169,2.09439506
4/8/2018 13:15,-4.52E-08,-2.094395171,2.094395058
4/8/2018 13:30,-4.61E-08,-2.094395172,2.094395057
4/8/2018 13:45,-4.57E-08,-2.094395172,2.094395058
4/8/2018 14:00,-4.56E-08,-2.094395173,2.094395058
4/8/2018 14:15,-4.63E-08,-2.094395173,2.094395056
4/8/2018 14:30,-4.79E-08,-2.094395173,2.094395054
4/8/2018 14:45,-4.98E-08,-2.094395173,2.094395051
4/8/2018 15:00,-5.10E-08,-2.094395173,2.094395049
4/8/2018 15:15,-5.18E-08,-2.094395174,2.094395048
4/8/2018 15:30,-5.06E-08,-2.094395171,2.094395048
4/8/2018 15:45,-5.20E-08,-2.09439517,2.094395047
4/8/2018 16:00,-5.29E-08,-2.094395169,2.094395045
4/8/2018 16:15,-5.36E-08,-2.094395169,2.094395044
4/8/2018 16:30,-5.43E-08,-2.094395168,2.094395043
4/8/2018 16:45,-5.45E-08,-2.094395167,2.094395043
4/8/2018 17:00,-5.49E-08,-2.094395167,2.094395042
4/8/2018 17:15,-5.54E-08,-2.094395166,2.094395041
4/8/2018 17:30,-5.52E-08,-2.094395165,2.094395041
