Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3,P1ULV4109.1,P1ULV4109.2,P1ULV4112.2,P1ULV4136.1,P1ULV4136.2,P1ULV4138.1,P1ULV7543.1,P1ULV4139.1,P1ULV4139.2,P1ULV4140.1,P1ULV4140.2,P1ULV7633.2,P1ULV4197.1,P1ULV4155.1,P1ULV4155.2,P1ULV4193.1,P1ULV4193.2,P1ULV4196.1,P1ULV4196.2,P1ULV7544.1,P1ULV7544.2,P1ULV7547.2,P1ULV4153.1,P1ULV4153.2,P1ULV4154.1,P1ULV4154.3,P1ULV7531.1,P1ULV7531.2,P1ULV7531.3,P1ULV4189.1,P1ULV4189.2,P1ULV4189.3,P1ULV4188.2,P1ULV4188.3,P1ULV4132.2
4/18/2018 14:00,7408.0883,7408.088162,7408.088399,121.6732581,121.7033976,122.45525,122.9958119,123.0545218,122.1762038,121.9332758,121.8992237,121.9983628,127.4027223,127.4391255,138.3252339,123.0893678,122.9966727,123.0242708,125.1747003,125.309441,120.6034747,120.9423267,121.2019763,121.3211862,122.9071808,275.5595259,275.5224449,278.5433567,278.6276305,273.7906801,273.5640299,273.8919738,276.9752871,276.9774369,277.0816245,276.7517255,276.8632382,275.5527536
4/18/2018 14:15,7413.192025,7413.191885,7413.19212,121.7487169,121.7791248,122.5398377,123.0806173,123.1395305,122.2371132,122.0148421,121.9798441,122.0794127,127.4843161,127.5204711,138.4172845,123.173762,123.1101252,123.1354459,125.2579853,125.3152122,120.6939844,121.029589,121.2818086,121.4014813,122.995622,275.749617,275.7109296,278.7337007,278.8150663,273.9879532,273.7549346,274.0824913,277.1621648,277.163789,277.2677173,276.8812845,276.9925692,275.5119476
4/18/2018 14:30,7383.544471,7383.544332,7383.544561,121.2560985,121.2865054,122.0497446,122.5895627,122.6482398,121.7312814,121.5229559,121.4865005,121.5861123,126.8328414,126.8685261,137.4588409,122.6655347,122.5967293,122.6236211,124.7100629,125.2181023,120.2055728,120.5391567,120.8367114,120.9511954,122.5058037,275.0260357,274.9866458,277.6179757,277.6960074,272.8951303,272.662725,272.982653,276.0505194,276.0502115,276.1523206,275.7138996,275.8232884,274.4082956
4/18/2018 14:45,7365.408358,7365.408226,7365.408441,120.9522694,120.9826783,121.7524855,122.2890209,122.3475536,121.365817,121.20598,121.1441812,121.245985,126.2334887,126.2682313,136.2955472,122.3333562,122.2701293,122.2982168,124.3023787,125.085671,119.9045234,120.2365395,120.6152932,120.7205545,122.1933141,274.6967218,274.6591504,276.9349525,277.0086012,272.2234635,271.9991589,272.3036581,275.3701723,275.3670419,275.4654837,274.9772625,275.0828311,273.7526249
4/18/2018 15:00,7470.28989,7470.289759,7470.28997,122.6686334,122.6995414,123.4873769,124.029379,124.0887457,123.0775146,122.9246235,122.8595098,122.9633337,127.702596,127.7369499,137.2948058,124.0396187,123.9187778,123.9501571,125.95554,125.1467985,121.605299,121.9410262,122.2015911,122.3236867,123.6878262,278.7303675,278.6932979,280.8744138,280.9490416,276.0896659,275.8756637,276.1718591,279.2916806,279.2851856,279.3825286,278.7708874,278.875317,277.4539473
4/18/2018 15:15,7400.466019,7400.465894,7400.466093,121.5238702,121.5545323,122.3419937,122.8545764,122.9162816,121.842041,121.7754756,121.7099323,121.8130122,126.1950016,126.2275195,135.1037576,122.8512897,122.7435883,122.7765148,124.6584166,124.9091811,120.4047117,120.7475567,121.0107293,121.1386221,122.3866768,276.2474333,276.2134313,278.2526184,278.3230687,273.5214721,273.3231142,273.5994342,276.6850339,276.674764,276.7685463,276.0708727,276.1716519,274.7430315
4/18/2018 15:30,7410.656243,7410.656127,7410.656308,121.6874492,121.7181583,122.5196074,122.987483,123.0557367,122.0118835,121.9421678,121.8757714,121.9791457,126.0186099,126.0504774,134.2867197,122.9856423,122.995512,123.0260543,124.7045786,124.8009438,120.5514802,120.895902,121.2926638,121.4143852,122.5328689,276.764776,276.7355892,278.6381381,278.7020697,273.8984597,273.7113444,273.9666739,277.072003,277.0586375,277.1477972,276.9108922,277.006666,275.1139725
4/18/2018 15:45,7387.077678,7387.077569,7387.077729,121.3044203,121.334947,122.1398173,122.5980468,122.6660823,121.6348009,121.5556702,121.4889559,121.5920553,125.257518,125.2884644,132.8267658,122.5593573,122.60598,122.6364479,124.1723505,124.6255283,120.1621344,120.5039111,121.0335443,121.147367,122.308218,276.0331335,276.00471,277.7584768,277.8146639,273.034713,272.8539209,273.0872119,276.198348,276.1809768,276.2653356,276.3972839,276.4878727,274.411731
4/18/2018 16:00,7453.147403,7453.147294,7453.147447,122.400198,122.4308275,123.2419102,123.6262027,123.7017685,122.737191,122.6431953,122.5753701,122.6793634,125.9895048,126.0199222,132.9021755,123.6171747,123.2765568,123.3402595,125.1346036,124.5890975,121.2296342,121.5726971,122.3756027,122.4670885,123.4062465,278.4753944,278.4436472,280.2442259,280.3033292,275.4759193,275.3042787,275.5224908,278.6729205,278.6508696,278.7333364,279.2329043,279.3212736,276.9990709
4/18/2018 16:15,7406.524599,7406.524511,7406.524643,121.6424725,121.672724,122.4857638,122.889765,122.9625555,121.8054681,121.8747182,121.806968,121.9102508,124.9593714,124.987039,131.3619802,122.8253586,122.6591337,122.7105552,124.2044136,124.3633441,120.4197891,120.7683318,121.7036657,121.7910725,122.5804101,276.7076043,276.6892515,278.4929236,278.5443409,273.7395618,273.606636,273.7836193,276.9294702,276.9076156,276.9832439,277.8996401,277.9810094,274.433887
4/18/2018 16:30,7411.263695,7411.263625,7411.263736,121.7220913,121.752329,122.577536,123.0054199,123.071788,121.8783036,122.0088948,121.949879,122.0499076,124.6983231,124.7251037,130.4701837,122.8684232,122.9769348,123.010068,124.1229087,124.2103812,120.2350505,120.632073,121.723797,121.8222352,122.6794668,276.9002054,276.8948193,278.6757183,278.7180748,273.904059,273.8132747,273.9426291,277.1110372,277.0847917,277.1565857,278.2203197,278.2980579,274.6743665
4/18/2018 16:45,7416.294518,7416.294454,7416.294551,121.8052659,121.8356001,122.6822583,123.0893756,123.1557885,121.9691076,122.1512295,122.0997844,122.1964299,124.5334572,124.5578655,129.8286754,122.9323863,123.0256003,123.060919,124.0502482,124.0620499,120.3100428,120.7053392,121.8594114,121.9552943,122.7939187,277.1084269,277.1050777,278.8714193,278.9091359,274.0887672,274.0134755,274.1200506,277.3038571,277.2749344,277.3432009,278.5509923,278.6250892,274.8605969
4/18/2018 17:00,7414.826842,7414.82677,7414.826847,121.7762995,121.8069015,122.6744296,123.06979,123.1361874,121.9571023,122.2131722,122.1628049,122.254276,124.1350538,124.1589317,128.7352483,122.8679972,123.0269518,123.0607818,123.8593048,123.8933141,120.2869197,120.6797782,121.9634736,122.0472954,122.9880768,277.0881695,277.0735508,278.8336755,278.8577546,274.0593131,273.9591276,274.0624884,277.2611067,277.2238855,277.2892481,279.6564541,279.7270598,274.8291356
4/18/2018 17:15,7450.14662,7450.146549,7450.146607,122.354877,122.3858208,123.3155268,123.6397745,123.7085673,122.5035391,122.8566917,122.8140886,122.9026976,124.3639677,124.3874832,128.3155598,123.4130481,123.6070124,123.6412559,124.2916393,123.7954259,120.8381121,121.2364964,122.6471476,122.7227011,123.5736767,278.4386336,278.4210643,280.176343,280.1917532,275.3791788,275.27732,275.3666479,279.3043057,279.2613395,279.3228967,280.8537447,280.9206222,275.9859924
